Epoch: 340 PSNR=23.074825650717315, SSIM=0.5429785167701087, MSE=27.47408620165131, gradientA=0, gradientB=0 
Epoch: 345 PSNR=23.15733745341285, SSIM=0.5536055255976262, MSE=27.581321981642144, gradientA=0, gradientB=0 
Epoch: 350 PSNR=23.08304038121081, SSIM=0.5505201661435203, MSE=27.609884191233775, gradientA=0, gradientB=0 
Epoch: 355 PSNR=23.229126732441692, SSIM=0.5582471284973907, MSE=27.709912920123354, gradientA=0, gradientB=0 
Epoch: 360 PSNR=22.136751673646806, SSIM=0.49048891969683533, MSE=27.54183942679225, gradientA=0, gradientB=0 
Epoch: 365 PSNR=21.426668269675105, SSIM=0.4748474402423368, MSE=27.897972638812167, gradientA=0, gradientB=0 
Epoch: 370 PSNR=20.375822480169976, SSIM=0.41832069152370216, MSE=27.463783033010436, gradientA=0, gradientB=0 
Epoch: 375 PSNR=20.83576350377573, SSIM=0.4276560997839053, MSE=27.800304396204186, gradientA=0, gradientB=0 
Epoch: 380 PSNR=21.342347827966996, SSIM=0.45376293755348457, MSE=27.579318653782046, gradientA=0, gradientB=0 
Epoch: 385 PSNR=20.736838452517347, SSIM=0.40765021236607296, MSE=27.439330684318936, gradientA=0, gradientB=0 
Epoch: 390 PSNR=22.79670189213665, SSIM=0.48318953518213964, MSE=28.086805342618366, gradientA=0, gradientB=0 
Epoch: 395 PSNR=23.068560407588762, SSIM=0.5253497335564823, MSE=27.709593196326317, gradientA=0, gradientB=0 
Epoch: 400 PSNR=21.912776637739487, SSIM=0.486768090045078, MSE=27.406314665547555, gradientA=0, gradientB=0 
Epoch: 405 PSNR=21.33139904521911, SSIM=0.4516277240597349, MSE=27.648938852576865, gradientA=0, gradientB=0 
Epoch: 410 PSNR=23.278198158550712, SSIM=0.5540897768391355, MSE=27.697795946504364, gradientA=0, gradientB=0 
Epoch: 415 PSNR=19.81831037276149, SSIM=0.4240966811983048, MSE=27.71101175456593, gradientA=0, gradientB=0 
Epoch: 420 PSNR=20.43313732262519, SSIM=0.4057141593844443, MSE=27.518381107204814, gradientA=0, gradientB=0 
Epoch: 425 PSNR=21.312658302706808, SSIM=0.44483254630552066, MSE=27.693830281597005, gradientA=0, gradientB=0 
Epoch: 430 PSNR=22.994068091403907, SSIM=0.5225106862510592, MSE=27.49425053677262, gradientA=0, gradientB=0 
Epoch: 435 PSNR=21.353732812141008, SSIM=0.4660807074793715, MSE=27.620527428905493, gradientA=0, gradientB=0 
Epoch: 440 PSNR=21.985549242242392, SSIM=0.44488821632544473, MSE=27.6651205797869, gradientA=0, gradientB=0 
Epoch: 445 PSNR=23.026437912065376, SSIM=0.5366560708264597, MSE=27.500581276428893, gradientA=0, gradientB=0 
Epoch: 450 PSNR=21.31609487143149, SSIM=0.47790927012038764, MSE=28.061083979844078, gradientA=0, gradientB=0 
Epoch: 455 PSNR=22.150807791747088, SSIM=0.4655638081008237, MSE=27.739600853888483, gradientA=0, gradientB=0 
Epoch: 460 PSNR=23.004129521465185, SSIM=0.5051598841891831, MSE=27.43276640480046, gradientA=0, gradientB=0 
Epoch: 465 PSNR=23.391895272815745, SSIM=0.5561918214475986, MSE=27.669377150493585, gradientA=0, gradientB=0 
Epoch: 470 PSNR=21.441067338677836, SSIM=0.46417301681099987, MSE=27.611675768141662, gradientA=0, gradientB=0 
Epoch: 475 PSNR=22.82500854239612, SSIM=0.516823910433962, MSE=27.855086284197444, gradientA=0, gradientB=0 
Epoch: 480 PSNR=20.008294282839678, SSIM=0.3980202173982387, MSE=27.51468211099465, gradientA=0, gradientB=0 
Epoch: 485 PSNR=20.79274571740206, SSIM=0.44689771897464586, MSE=27.59883253958813, gradientA=0, gradientB=0 
Epoch: 490 PSNR=21.123655612263555, SSIM=0.4468709256738292, MSE=27.609735709642816, gradientA=0, gradientB=0 
